"site","lat","lon"
"PIELORES_OUT",47.320649,-122.645841
"PIECOMM_OUT",47.154625,-122.353795
"PIEHIRES_OUT",47.138045,-122.319535
"SEAC1S8D_OUT",47.65402017,-122.3144265
"SEAI1S8D_OUT",47.50997009,-122.2824852
"SEAR1S8D_OUT",47.71617029,-122.3621833
"POSOUTFALL_6057",47.67943998,-122.4063144
"SNO_HDR",47.84606774,-122.1939574
"SNO_COM",47.88109682,-122.2390179
"SNO_LDR",47.86894448,-122.0992859
"KICLDRS8D_OUT",47.51108877,-122.1432065
"KICCOMS8D_OUT",47.56741205,-121.8883204
"KICHDRS8D_OUT",47.56528673,-121.8945563
"POSOUTFALL_6061",47.67867563,-122.4067631
"POSOUTFALL_6065",47.67818217,-122.4070547
"POSOUTFALL_6052",47.68122574,-122.4048688
"POSOUTFALL_6056",47.67969862,-122.406164
"POSOUTFALL_6051",47.68147619,-122.4047127
"POSOUTFALL_6048",47.68221523,-122.4042679
"POSOUTFALL_6041",47.68386033,-122.4034908
"POSOUTFALL_6040",47.68438885,-122.4034129
"TAC003S8D_OF245",47.245614,-122.430726
"TFWFD1",47.2408,-122.4315
"TFWFD6",47.24311,-122.43403
"POT564S8D_OUT",47.2659,-122.4119778
"TAC001S8D_OF235",47.243327,-122.433651
